second,Volt
-0.1255,-0.321608
-0.123,-0.160302
-0.1205,-0.184422
-0.118,0.039698
-0.1155,-0.071859
-0.113,0.007538
-0.1105,-0.055779
-0.108,-0.088442
-0.1055,-0.048241
-0.103,0.040201
-0.1005,-0.425628
-0.098,-0.184422
-0.0955,-0.047739
-0.093,0.08794
-0.0905,-0.055779
-0.088,-0.007538
-0.0855,-0.032161
-0.083,-0.176382
-0.0805,0.00804
-0.078,-0.40201
-0.0755,-0.136181
-0.073,0.01608
-0.0705,-0.079899
-0.068,-0.015578
-0.0655,0.047739
-0.063,-0.032161
-0.0605,0.064322
-0.058,0.039698
-0.0555,-0.304523
-0.053,-0.00804
-0.0505,-0.040201
-0.048,-0.055779
-0.0455,0.047739
-0.043,-0.048241
-0.0405,-0.09598
-0.038,0
-0.0355,-0.353266
-0.033,0.225126
-0.0305,-0.192965
-0.028,-0.120101
-0.0255,0.063819
-0.023,-0.055779
-0.0205,-0.079899
-0.018,-0.032161
-0.0155,-0.096482
-0.013,-0.152261
-0.0105,0.401005
-0.008,0.039698
-0.0055,0.047739
-0.003,-0.071859
-0.0005,-0.015578
0.002,0.055779
0.0045,-0.088442
0.007,-0.152261
0.0095,-0.072362
0.012,-0.48191
0.0145,0.144221
0.017,0.08794
0.0195,-0.063819
0.022,0
0.0245,0.063819
0.027,-0.09598
0.0295,0.168342
0.032,0.345729
0.0345,-0.048241
0.037,0.11206
0.0395,-0.120101
0.042,0.063819
0.0445,0
0.047,-0.055779
0.0495,0.09598
0.052,0
0.0545,-0.376884
0.057,-0.184925
0.0595,-0.088442
0.062,0.112563
0.0645,0.047739
0.067,-0.063819
0.0695,0.063819
0.072,0.023618
0.0745,0.039698
0.077,0.288945
0.0795,0.272864
0.082,-0.168342
0.0845,0.040201
0.087,-0.024121
0.0895,-0.031658
0.092,0.047739
0.0945,-0.11206
0.097,-0.023618
0.0995,-0.024121
0.102,-0.08794
0.1045,0.128141
0.107,0.023618
0.1095,-0.007538
0.112,0.047739
0.1145,-0.071859
0.117,0.00804
0.1195,0.128141
0.122,-0.385427
0.1245,0.096482
0.127,-0.00804
0.1295,-0.00804
0.132,0
0.1345,-0.031658
0.137,0.048241
0.1395,0.10402
0.142,-0.120603
0.1445,0.441709
0.147,0.345226
0.1495,-0.047739
0.152,0.048241
0.1545,-0.064322
0.157,-0.007538
0.1595,-0.031658
0.162,-0.01608
0.1645,-0.192462
0.167,0.192462
